gid,tipo_pavim,local,cod_local,area,distance,angle,geometry,x,y
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,0.0,290.75645525702726,POINT Z (687258.4002537857 7189905.136 0),687258.4002537857,7189905.136
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,20.0,300.9782402572562,POINT Z (687241.7274430068 7189916.10445339 0),687241.7274430068,7189916.10445339
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,40.0,300.2376788513944,POINT Z (687224.5761577531 7189926.391893864 0),687224.5761577531,7189926.391893864
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,60.0,302.8393935204489,POINT Z (687207.3983444825 7189936.628329208 0),687207.3983444825,7189936.628329208
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,80.0,300.97129779468895,POINT Z (687190.4371898643 7189947.221428285 0),687190.4371898643,7189947.221428285
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,100.0,298.2943908139178,POINT Z (687172.8605894697 7189956.763311364 0),687172.8605894697,7189956.763311364
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,120.0,340.1720365576414,POINT Z (687157.3678123537 7189968.683812456 0),687157.3678123537,7189968.683812456
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,140.0,265.8589766089836,POINT Z (687146.4247592918 7189979.434850644 0),687146.4247592918,7189979.434850644
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,160.0,261.0812233133688,POINT Z (687126.5488830009 7189977.316501042 0),687126.5488830009,7189977.316501042
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,180.0,268.48622957819674,POINT Z (687106.631297586 7189975.961869574 0),687106.631297586,7189975.961869574
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,200.0,291.84855338458357,POINT Z (687086.9930582703 7189978.588133696 0),687086.9930582703,7189978.588133696
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,220.0,289.09383198967805,POINT Z (687068.2569980416 7189985.568756832 0),687068.2569980416,7189985.568756832
