gid,local,cod_local,E,N,geometry,x,y
21,Fazenda Canguiri,PFCG,687417.139,7190180.28,POINT Z (687417.1389544094 7190180.280452524 925.5424505455795),687417.1389544094,7190180.280452524
22,Fazenda Canguiri,PFCG,687382.965,7190159.143,POINT Z (687382.9648781153 7190159.1430474715 924.3669337766261),687382.9648781153,7190159.1430474715
23,Fazenda Canguiri,PFCG,687316.787,7190177.273,POINT Z (687316.7866710731 7190177.272642974 922.2510035925098),687316.7866710731,7190177.272642974
24,Fazenda Canguiri,PFCG,687315.846,7190174.537,POINT Z (687315.8456479339 7190174.537434197 921.3105901773471),687315.8456479339,7190174.537434197
25,Fazenda Canguiri,PFCG,687327.165,7190171.555,POINT Z (687327.1649238551 7190171.554902658 921.5456935311378),687327.1649238551,7190171.554902658
26,Fazenda Canguiri,PFCG,687322.749,7190159.392,POINT Z (687322.7486337007 7190159.392294873 921.7807968849285),687322.7486337007,7190159.392294873
27,Fazenda Canguiri,PFCG,687322.217,7190155.999,POINT Z (687322.2166546623 7190155.998664929 921.7807968849285),687322.2166546623,7190155.998664929
28,Fazenda Canguiri,PFCG,687326.113,7190149.622,POINT Z (687326.1129048007 7190149.622323072 923.1914170076726),687326.1129048007,7190149.622323072
29,Fazenda Canguiri,PFCG,687347.365,7190140.426,POINT Z (687347.3650711937 7190140.426391116 922.2510035925098),687347.3650711937,7190140.426391116
30,Fazenda Canguiri,PFCG,687338.946,7190132.652,POINT Z (687338.9458250818 7190132.652210358 924.3669337766261),687338.9458250818,7190132.652210358
31,Fazenda Canguiri,PFCG,687329.406,7190123.565,POINT Z (687329.4055482218 7190123.564927756 923.4265203614633),687329.4055482218,7190123.564927756
32,Fazenda Canguiri,PFCG,687489.442,7190222.295,POINT Z (687489.4416654097 7190222.2953566285 932.9482061899863),687489.4416654097,7190222.2953566285
33,Fazenda Canguiri,PFCG,687509.203,7190285.316,POINT Z (687509.202862396 7190285.316300532 928.0110357603818),687509.202862396,7190285.316300532
34,Fazenda Canguiri,PFCG,687515.112,7190270.656,POINT Z (687515.1116396511 7190270.656382978 928.9514491755446),687515.1116396511,7190270.656382978
35,Fazenda Canguiri,PFCG,687511.255,7190276.379,POINT Z (687511.254720218 7190276.37939447 928.9514491755446),687511.254720218,7190276.37939447
36,Fazenda Canguiri,PFCG,687508.141,7190280.639,POINT Z (687508.1405643577 7190280.639463049 927.7759324065911),687508.1405643577,7190280.639463049
37,Fazenda Canguiri,PFCG,687518.813,7190173.623,POINT Z (687518.813018413 7190173.622562692 926.1302089300563),687518.813018413,7190173.622562692
38,Fazenda Canguiri,PFCG,687525.728,7190180.982,POINT Z (687525.7284076643 7190180.982493062 927.5408290528004),687525.7284076643,7190180.982493062
39,Fazenda Canguiri,PFCG,687533.328,7190187.219,POINT Z (687533.3276415061 7190187.219180736 927.070622345219),687533.3276415061,7190187.219180736
40,Fazenda Canguiri,PFCG,687542.323,7190166.798,POINT Z (687542.3228173096 7190166.797974909 925.8951055762656),687542.3228173096,7190166.797974909
41,Fazenda Canguiri,PFCG,687558.214,7190203.01,POINT Z (687558.2136355749 7190203.009555542 930.2839758514292),687558.2136355749,7190203.009555542
42,Fazenda Canguiri,PFCG,687290.373,7190089.841,POINT Z (687290.3729773454 7190089.841129675 918.9595566394402),687290.3729773454,7190089.841129675
43,Fazenda Canguiri,PFCG,687291.705,7190089.778,POINT Z (687291.7048682347 7190089.77841839 918.9595566394402),687291.7048682347,7190089.77841839
44,Fazenda Canguiri,PFCG,687343.213,7190166.473,POINT Z (687343.213491214 7190166.472721345 923.015107007364),687343.213491214,7190166.472721345
45,Fazenda Canguiri,PFCG,687368.843,7190192.058,POINT Z (687368.8426942693 7190192.0580174755 927.4820707293871),687368.8426942693,7190192.0580174755
46,Fazenda Canguiri,PFCG,687389.896,7190181.838,POINT Z (687389.8957341784 7190181.838335579 923.015107007364),687389.8957341784,7190181.838335579
