id,Tipo,X,y
1,edificacao,686883.08,7190591.20
2,edificacao,686889.83,7190598.08
3,edificacao,686899.41,7190607.00
4,edificacao,686906.55,7190601.34
5,edificacao,686894.44,7190592.38
6,edificacao,686887.13,7190586.80
7,edificacao,686939.50,7190592.20
8,edificacao,686950.90,7190600.99
9,edificacao,686957.58,7190594.75
10,edificacao,686946.25,7190585.76
11,edificacao,686964.14,7190625.98
12,edificacao,686988.74,7190646.73
13,edificacao,687014.72,7190616.93
14,edificacao,686991.47,7190596.55
15,edificacao,687008.02,7190661.33
16,edificacao,687023.95,7190675.17
17,edificacao,687038.05,7190658.89
18,edificacao,687023.04,7190645.15
19,edificacao,687062.90,7190692.05
20,edificacao,687081.76,7190708.82
21,edificacao,687087.85,7190702.16
22,edificacao,687068.26,7190684.57
23,edificacao,687313.38,7190382.08
24,edificacao,687342.19,7190398.92
25,edificacao,687317.65,7190376.42
26,edificacao,687346.61,7190392.46
27,edificacao,687296.19,7190333.89
28,edificacao,687313.08,7190350.78
29,edificacao,687321.43,7190340.48
30,edificacao,687305.59,7190325.01
31,edificacao,687358.57,7190370.07
32,edificacao,687363.48,7190374.38
33,edificacao,687374.19,7190361.10
34,edificacao,687369.53,7190357.70
35,edificacao,687383.33,7190408.07
36,edificacao,687400.14,7190422.96
37,edificacao,687407.19,7190415.38
38,edificacao,687391.87,7190400.76
39,edificacao,687406.14,7190436.28
40,edificacao,687413.37,7190443.50
41,edificacao,687421.21,7190434.88
42,edificacao,687414.94,7190427.48
43,edificacao,687383.60,7190440.19
44,edificacao,687389.08,7190431.49
45,edificacao,687356.87,7190413.68
46,edificacao,687351.64,7190421.13
47,edificacao,687385.16,7190340.25
48,edificacao,687389.16,7190342.87
49,edificacao,687396.13,7190327.89
50,edificacao,687400.48,7190330.67
51,edificacao,687412.15,7190310.30
52,edificacao,687416.77,7190313.52
53,edificacao,687426.95,7190300.72
54,edificacao,687423.03,7190297.76
55,edificacao,687401.88,7190312.39
56,edificacao,687394.13,7190319.70
57,edificacao,687379.59,7190307.25
58,edificacao,687388.04,7190298.76
59,edificacao,687378.46,7190292.97
60,edificacao,687376.18,7190295.56
61,edificacao,687371.49,7190300.64
62,edificacao,687377.15,7190306.21
63,edificacao,687373.06,7190309.43
64,edificacao,687367.75,7190304.64
65,edificacao,687360.87,7190299.11
66,edificacao,687343.83,7190319.28
67,edificacao,687322.91,7190301.25
68,edificacao,687340.74,7190279.55
69,edificacao,687559.81,7190155.59
70,edificacao,687565.73,7190159.64
71,edificacao,687559.52,7190165.19
72,edificacao,687553.73,7190160.23
73,edificacao,687597.87,7190167.37
74,edificacao,687607.19,7190174.03
75,edificacao,687602.44,7190178.99
76,edificacao,687593.69,7190171.81
77,edificacao,687617.99,7190144.11
78,edificacao,687625.55,7190150.66
79,edificacao,687630.22,7190145.91
80,edificacao,687621.55,7190139.20
81,edificacao,687637.05,7190115.57
82,edificacao,687642.58,7190120.18
83,edificacao,687652.76,7190108.91
84,edificacao,687647.54,7190103.94
85,edificacao,687555.50,7190240.35
86,edificacao,687549.58,7190235.99
87,edificacao,687540.52,7190259.76
88,edificacao,687534.03,7190253.98
89,edificacao,687532.04,7190267.95
90,edificacao,687524.85,7190264.46
91,edificacao,687595.94,7190262.37
92,edificacao,687607.17,7190272.30
93,edificacao,687592.11,7190289.27
94,edificacao,687580.81,7190280.02
95,edificacao,687609.78,7190296.94
96,edificacao,687619.27,7190305.64
97,edificacao,687626.58,7190298.68
98,edificacao,687616.92,7190289.54
99,edificacao,687672.41,7190229.18
100,edificacao,687681.86,7190238.26
101,edificacao,687697.19,7190222.76
102,edificacao,687686.83,7190212.31
103,edificacao,687693.97,7190205.61
104,edificacao,687702.67,7190213.79
105,edificacao,687700.15,7190198.99
106,edificacao,687708.68,7190208.05
107,edificacao,687703.80,7190192.72
108,edificacao,687710.86,7190185.41
146,edificacao,687701.11,7190176.27
109,edificacao,687694.05,7190183.50
110,edificacao,687716.08,7190203.52
111,edificacao,687724.00,7190211.18
112,edificacao,687722.26,7190196.21
113,edificacao,687731.44,7190204.82
114,edificacao,687800.09,7190280.31
115,edificacao,687816.94,7190293.93
116,edificacao,687822.64,7190287.90
117,edificacao,687805.93,7190273.08
118,edificacao,687810.41,7190307.38
119,edificacao,687804.62,7190312.69
120,edificacao,687813.85,7190321.57
121,edificacao,687820.71,7190316.00
122,edificacao,687696.64,7190373.17
123,edificacao,687701.71,7190366.32
124,edificacao,687683.12,7190347.65
125,edificacao,687658.26,7190327.17
126,edificacao,687653.29,7190334.20
127,edificacao,687673.64,7190354.40
128,edificacao,687702.73,7190420.60
129,edificacao,687730.76,7190427.54
130,edificacao,687726.71,7190441.27
131,edificacao,687697.83,7190434.83
132,edificacao,687597.94,7190372.33
133,edificacao,687590.80,7190380.08
134,edificacao,687617.77,7190403.27
135,edificacao,687625.06,7190397.06
136,edificacao,687666.65,7190434.60
137,edificacao,687660.59,7190441.37
138,edificacao,687684.91,7190464.44
139,edificacao,687691.79,7190456.78
140,edificacao,687754.44,7190464.99
141,edificacao,687747.33,7190472.45
142,edificacao,687759.35,7190484.12
142,edificacao,687767.27,7190475.41
143,edificacao,687850.15,7190425.70
144,edificacao,687861.56,7190437.63
145,edificacao,687839.79,7190462.00
147,edificacao,687827.34,7190450.60
