id,local,cod_local,tipo_trech,E,N,geometry,x,y
27,Fazenda Canguiri,PFCG,Curso dagua temporário,687735.702,7190955.359,POINT Z (687735.7016952157 7190955.358603115 0),687735.7016952157,7190955.358603115
27,Fazenda Canguiri,PFCG,Curso dagua temporário,687742.474,7190937.426,POINT Z (687742.4744980781 7190937.425674334 0),687742.4744980781,7190937.425674334
27,Fazenda Canguiri,PFCG,Curso dagua temporário,687756.119,7190922.97,POINT Z (687756.1185141962 7190922.969842098 0),687756.1185141962,7190922.969842098
27,Fazenda Canguiri,PFCG,Curso dagua temporário,687768.867,7190907.721,POINT Z (687768.8673161177 7190907.721053908 0),687768.8673161177,7190907.721053908
27,Fazenda Canguiri,PFCG,Curso dagua temporário,687783.656,7190894.256,POINT Z (687783.6558590132 7190894.256322234 0),687783.6558590132,7190894.256322234
27,Fazenda Canguiri,PFCG,Curso dagua temporário,687797.237,7190879.673,POINT Z (687797.2365933551 7190879.672905086 0),687797.2365933551,7190879.672905086
46,Fazenda Canguiri,PFCG,Curso dagua temporário,687324.021,7190178.993,POINT Z (687324.0214554808 7190178.992768005 0),687324.0214554808,7190178.992768005
1,Fazenda Canguiri,PFCG,Curso dagua,686647.391,7190495.921,POINT Z (686647.3909392514 7190495.920567004 0),686647.3909392514,7190495.920567004
1,Fazenda Canguiri,PFCG,Curso dagua,686628.301,7190501.867,POINT Z (686628.3014167245 7190501.866954608 0),686628.3014167245,7190501.866954608
1,Fazenda Canguiri,PFCG,Curso dagua,686608.566,7190501.149,POINT Z (686608.5663059893 7190501.149350483 0),686608.5663059893,7190501.149350483
1,Fazenda Canguiri,PFCG,Curso dagua,686590.686,7190492.405,POINT Z (686590.6858157851 7190492.404738061 0),686590.6858157851,7190492.404738061
1,Fazenda Canguiri,PFCG,Curso dagua,686575.679,7190479.243,POINT Z (686575.6794348595 7190479.243033496 0),686575.6794348595,7190479.243033496
1,Fazenda Canguiri,PFCG,Curso dagua,686558.395,7190469.726,POINT Z (686558.3948485147 7190469.725814293 0),686558.3948485147,7190469.725814293
1,Fazenda Canguiri,PFCG,Curso dagua,686539.062,7190464.715,POINT Z (686539.0620960406 7190464.714592751 0),686539.0620960406,7190464.714592751
1,Fazenda Canguiri,PFCG,Curso dagua,686519.325,7190466.78,POINT Z (686519.3246806089 7190466.780230197 0),686519.3246806089,7190466.780230197
1,Fazenda Canguiri,PFCG,Curso dagua,686499.565,7190469.361,POINT Z (686499.5647254296 7190469.36096138 0),686499.5647254296,7190469.36096138
1,Fazenda Canguiri,PFCG,Curso dagua,686480.075,7190473.244,POINT Z (686480.0752851058 7190473.24381605 0),686480.0752851058,7190473.24381605
1,Fazenda Canguiri,PFCG,Curso dagua,686463.356,7190484.083,POINT Z (686463.35605342 7190484.08313587 0),686463.35605342,7190484.08313587
2,Fazenda Canguiri,PFCG,Curso dagua,687323.625,7190881.344,POINT Z (687323.6251096678 7190881.344089991 0),687323.6251096678,7190881.344089991
2,Fazenda Canguiri,PFCG,Curso dagua,687336.25,7190866.194,POINT Z (687336.2496295444 7190866.1941614915 0),687336.2496295444,7190866.1941614915
