id,nome,utm_e,utm_n,geometry,x,y
76,V076,686800.709,7190193.179,POINT Z (686800.709 7190193.179 934.51),686800.709,7190193.179
77,V077,686739.908,7190214.926,POINT Z (686739.908 7190214.926 936.39),686739.908,7190214.926
78,V078,686589.628,7190290.025,POINT Z (686589.628 7190290.025 936.44),686589.628,7190290.025
79,V079,686533.813,7190294.502,POINT Z (686533.813 7190294.502 937.03),686533.813,7190294.502
80,V080,686491.881,7190371.636,POINT Z (686491.881 7190371.636 931.43),686491.881,7190371.636
81,V081,686343.109,7190635.006,POINT Z (686343.109 7190635.006 919.07),686343.109,7190635.006
82,V082,686667.112,7190682.548,POINT Z (686667.112 7190682.548 934.41),686667.112,7190682.548
83,V083,686724.945,7190646.264,POINT Z (686724.945 7190646.264 936.61),686724.945,7190646.264
84,V084,686766.179,7190643.275,POINT Z (686766.179 7190643.275 937.32),686766.179,7190643.275
85,V085,686927.291,7190678.589,POINT Z (686927.291 7190678.589 942.77),686927.291,7190678.589
86,V086,686926.477,7190674.181,POINT Z (686926.477 7190674.181 949.28),686926.477,7190674.181
87,V087,686939.299,7190679.323,POINT Z (686939.299 7190679.323 946.7),686939.299,7190679.323
88,V088,686973.473,7190688.148,POINT Z (686973.473 7190688.148 945.4),686973.473,7190688.148
89,V089,687013.877,7190711.216,POINT Z (687013.877 7190711.216 946.67),687013.877,7190711.216
90,V090,687083.872,7190783.683,POINT Z (687083.872 7190783.683 948.95),687083.872,7190783.683
91,V091,687085.21,7190787.096,POINT Z (687085.21 7190787.096 948.86),687085.21,7190787.096
92,V092,687110.531,7190813.783,POINT Z (687110.531 7190813.783 950.37),687110.531,7190813.783
93,V093,687318.13,7190990.818,POINT Z (687318.13 7190990.818 948.22),687318.13,7190990.818
94,V094,687506.846,7191131.43,POINT Z (687506.846 7191131.43 942.61),687506.846,7191131.43
95,V095,687566.236,7191173.317,POINT Z (687566.236 7191173.317 945.6),687566.236,7191173.317
96,V096,687607.411,7191211.729,POINT Z (687607.411 7191211.729 942.69),687607.411,7191211.729
97,V097,687647.272,7191248.597,POINT Z (687647.272 7191248.597 941.32),687647.272,7191248.597
98,V098,687782.415,7191321.355,POINT Z (687782.415 7191321.355 938.28),687782.415,7191321.355
50,,686965.4982742992,7190044.429784047,POINT Z (686965.4982742992 7190044.429784047 0),686965.4982742992,7190044.429784047
51,,687116.3204541696,7189907.427963289,POINT Z (687116.3204541695 7189907.427963289 0),687116.3204541695,7189907.427963289
52,,687565.181682708,7189905.1746438695,POINT Z (687565.181682708 7189905.1746438695 0),687565.181682708,7189905.1746438695
53,,687844.593290835,7189905.775529048,POINT Z (687844.593290835 7189905.775529048 0),687844.593290835,7189905.775529048
54,,687844.192700716,7191334.680484158,POINT Z (687844.192700716 7191334.680484158 0),687844.192700716,7191334.680484158
55,,687844.192700716,7190576.763978673,POINT Z (687844.192700716 7190576.763978673 0),687844.192700716,7190576.763978673
53,,687845.7950611929,7190163.35497568,POINT Z (687845.7950611929 7190163.354975681 0),687845.7950611929,7190163.354975681
