gid,local,area,cod_local,tipo_massa,E,N,geometry,x,y
3,Fazenda Canguiri,,PFCG,Represa  /  Açude permanente,687692.365,7190766.705,POINT Z (687692.3652533463 7190766.705439071 0),687692.3652533463,7190766.705439071
3,Fazenda Canguiri,,PFCG,Represa  /  Açude permanente,687677.518,7190754.11,POINT Z (687677.5178868793 7190754.109709787 0),687677.5178868793,7190754.109709787
3,Fazenda Canguiri,,PFCG,Represa  /  Açude permanente,687659.691,7190745.094,POINT Z (687659.6911264092 7190745.093675633 0),687659.6911264092,7190745.093675633
3,Fazenda Canguiri,,PFCG,Represa  /  Açude permanente,687642.494,7190735.01,POINT Z (687642.4940556872 7190735.009633363 0),687642.4940556872,7190735.009633363
3,Fazenda Canguiri,,PFCG,Represa  /  Açude permanente,687624.827,7190725.706,POINT Z (687624.8269571126 7190725.706356949 0),687624.8269571126,7190725.706356949
3,Fazenda Canguiri,,PFCG,Represa  /  Açude permanente,687605.699,7190725.759,POINT Z (687605.6994788146 7190725.759229996 0),687605.6994788146,7190725.759229996
3,Fazenda Canguiri,,PFCG,Represa  /  Açude permanente,687587.368,7190731.659,POINT Z (687587.3677836293 7190731.658543455 0),687587.3677836293,7190731.658543455
3,Fazenda Canguiri,,PFCG,Represa  /  Açude permanente,687584.003,7190740.475,POINT Z (687584.0026426502 7190740.475171448 0),687584.0026426502,7190740.475171448
3,Fazenda Canguiri,,PFCG,Represa  /  Açude permanente,687579.441,7190758.762,POINT Z (687579.4407967058 7190758.761942497 0),687579.4407967058,7190758.761942497
3,Fazenda Canguiri,,PFCG,Represa  /  Açude permanente,687589.179,7190771.509,POINT Z (687589.1792411297 7190771.508856758 0),687589.1792411297,7190771.508856758
3,Fazenda Canguiri,,PFCG,Represa  /  Açude permanente,687608.121,7190777.186,POINT Z (687608.1207638811 7190777.186345181 0),687608.1207638811,7190777.186345181
3,Fazenda Canguiri,,PFCG,Represa  /  Açude permanente,687622.675,7190790.488,POINT Z (687622.6753215789 7190790.48844295 0),687622.6753215789,7190790.48844295
