gid,LAYER,local,cod_local,tipo_poste,tipo_lampa,potencia,qnt_lampad,vida_util,data_troca,data_insta,nome_poste,E,N,geometry,x,y
1,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687532.254,687532.254,POINT Z (687532.2543545464 7190250.667864214 0),687532.2543545464,7190250.667864214
2,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687509.073,687509.073,POINT Z (687509.0725493518 7190209.501017191 0),687509.0725493518,7190209.501017191
3,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687519.646,687519.646,POINT Z (687519.6457244148 7190228.112268186 0),687519.6457244148,7190228.112268186
4,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687287.293,687287.293,POINT Z (687287.2928013366 7190097.250701925 0),687287.2928013366,7190097.250701925
5,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687329.145,687329.145,POINT Z (687329.1445545113 7190177.214709624 0),687329.1445545113,7190177.214709624
6,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687338.842,687338.842,POINT Z (687338.842128651 7190166.886905267 0),687338.842128651,7190166.886905267
7,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687502.564,687502.564,POINT Z (687502.5639919569 7190292.647835704 0),687502.5639919569,7190292.647835704
8,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687498.442,687498.442,POINT Z (687498.4421373652 7190308.772531194 0),687498.4421373652,7190308.772531194
85,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687333.996,687333.996,POINT Z (687333.9959280228 7190364.685258461 0),687333.9959280228,7190364.685258461
86,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687352.846,687352.846,POINT Z (687352.8457013338 7190382.3218612205 0),687352.8457013338,7190382.3218612205
87,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687397.718,687397.718,POINT Z (687397.718020078 7190421.524141269 0),687397.718020078,7190421.524141269
88,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687637.707,687637.707,POINT Z (687637.7070442125 7190154.493636429 0),687637.7070442125,7190154.493636429
89,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687644.463,687644.463,POINT Z (687644.4632667638 7190120.687075654 0),687644.4632667638,7190120.687075654
101,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687810.713,687810.713,POINT Z (687810.7125578808 7189973.736075178 0),687810.7125578808,7189973.736075178
102,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687745.264,687745.264,POINT Z (687745.26381152 7190045.105432231 0),687745.26381152,7190045.105432231
103,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687709.898,687709.898,POINT Z (687709.898113942 7190087.502138865 0),687709.898113942,7190087.502138865
104,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687670.244,687670.244,POINT Z (687670.2443064475 7190187.809577924 0),687670.2443064475,7190187.809577924
105,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687689.564,687689.564,POINT Z (687689.5637407085 7190207.820783665 0),687689.5637407085,7190207.820783665
106,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687712.874,687712.874,POINT Z (687712.8739291058 7190232.032764313 0),687712.8739291058,7190232.032764313
107,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687733.421,687733.421,POINT Z (687733.4212695697 7190253.560346248 0),687733.4212695697,7190253.560346248
108,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687753.329,687753.329,POINT Z (687753.3288652768 7190274.137663319 0),687753.3288652768,7190274.137663319
