id,cota,local,cod_local,tipo_ponto,E,N,geometry,x,y
1,943.42,Fazenda Canguiri,PFCG,Terreno,687345.654,7190472.531,POINT Z (687345.6544726855 7190472.531327825 943.419392979913),687345.6544726855,7190472.531327825
2,947.37,Fazenda Canguiri,PFCG,Terreno,687267.2,7190553.265,POINT Z (687267.1997091298 7190553.265379728 947.3723229524746),687267.1997091298,7190553.265379728
3,946.67,Fazenda Canguiri,PFCG,Terreno,687245.845,7190552.51,POINT Z (687245.8451569151 7190552.510335083 946.6747470749638),687245.8451569151,7190552.510335083
4,948.77,Fazenda Canguiri,PFCG,Terreno,687208.272,7190542.92,POINT Z (687208.2719916885 7190542.920235338 948.7674747074964),687208.2719916885,7190542.920235338
5,946.21,Fazenda Canguiri,PFCG,Terreno,687183.34,7190591.673,POINT Z (687183.3399497186 7190591.672932193 946.2096964899565),687183.3399497186,7190591.672932193
6,943.53,Fazenda Canguiri,PFCG,Terreno,687257.482,7190801.005,POINT Z (687257.4820000001 7190801.005 943.525),687257.4820000001,7190801.005
7,928.79,Fazenda Canguiri,PFCG,Terreno,687495.466,7190709.351,POINT Z (687495.4659999999 7190709.351 928.7869999999999),687495.4659999999,7190709.351
8,917.63,Fazenda Canguiri,PFCG,Terreno,687630.31,7190798.983,POINT Z (687630.31 7190798.982999999 917.632),687630.31,7190798.982999999
9,943.61,Fazenda Canguiri,PFCG,Terreno,687799.905,7190501.321,POINT Z (687799.905 7190501.321 943.6089999999999),687799.905,7190501.321
13,906.74,Fazenda Canguiri,PFCG,Terreno,687730.038,7190043.529,POINT Z (687730.038 7190043.529 906.743),687730.038,7190043.529
14,907.48,Fazenda Canguiri,PFCG,Terreno,687669.456,7190020.313,POINT Z (687669.4559999999 7190020.312999999 907.4780000000001),687669.4559999999,7190020.312999999
17,913.81,Fazenda Canguiri,PFCG,Terreno,687323.915,7190070.961,POINT Z (687323.915 7190070.961 913.812),687323.915,7190070.961
18,913.56,Fazenda Canguiri,PFCG,Terreno,687457.424,7190093.246,POINT Z (687457.4240000001 7190093.246 913.555),687457.4240000001,7190093.246
19,922.5,Fazenda Canguiri,PFCG,Terreno,687677.493,7190235.825,POINT Z (687677.493 7190235.825 922.498),687677.493,7190235.825
20,943.4,Fazenda Canguiri,PFCG,Terreno,687325.481,7190516.572,POINT Z (687325.4809999999 7190516.572000001 943.4019999999999),687325.4809999999,7190516.572000001
21,944.63,Fazenda Canguiri,PFCG,Terreno,687368.667,7190486.117,POINT Z (687368.667 7190486.117000001 944.6289999999999),687368.667,7190486.117000001
22,940.26,Fazenda Canguiri,PFCG,Terreno,687559.115,7190463.009,POINT Z (687559.115 7190463.009 940.255),687559.115,7190463.009
23,944.32,Fazenda Canguiri,PFCG,Terreno,687722.888,7190491.147,POINT Z (687722.8879999999 7190491.147000001 944.32),687722.8879999999,7190491.147000001
24,946.24,Fazenda Canguiri,PFCG,Terreno,687704.623,7190510.366,POINT Z (687704.623 7190510.366 946.2439999999999),687704.623,7190510.366
25,940.45,Fazenda Canguiri,PFCG,Terreno,687701.249,7190422.833,POINT Z (687701.2490000001 7190422.833 940.447),687701.2490000001,7190422.833
